,Unnamed: 0,Switch ID,Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Packets Rx Dropped,Packets Tx Dropped,Packets Rx Errors,Packets Tx Errors,Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Delta Packets Rx Dropped, Delta Packets Tx Dropped,Delta Packets Rx Errors,Delta Packets Tx Errors,Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,is_valid,Table ID,Active Flow Entries,Packets Looked Up,Packets Matched,Max Size,Label,Binary Label
29,29,of:0000000000000005,Port#:1,59,8008,7882,56,46,0,0,0,0,2,278,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,4,229,146,-1,TCP-SYN,Attack
30,30,of:0000000000000005,Port#:2,61,8124,8008,59,46,0,0,0,0,2,278,278,2,5,0,0,0,0,2,0,0,0,0,0,True,0,4,229,146,-1,TCP-SYN,Attack
31,31,of:0000000000000005,Port#:3,59,8008,8008,59,46,0,0,0,0,2,278,278,2,5,0,0,0,0,4,0,0,0,0,0,True,0,4,229,146,-1,TCP-SYN,Attack
32,32,of:0000000000000006,Port#:1,59,8008,7840,55,46,0,0,0,0,2,278,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,5,224,137,-1,TCP-SYN,Attack
33,33,of:0000000000000006,Port#:2,59,8008,8008,59,46,0,0,0,0,2,278,278,2,5,0,0,0,0,2,0,0,0,0,0,True,0,5,224,137,-1,TCP-SYN,Attack
34,34,of:0000000000000006,Port#:3,60,8082,8008,59,46,0,0,0,0,2,278,278,2,5,0,0,0,0,3,0,0,0,0,0,True,0,5,224,137,-1,TCP-SYN,Attack
35,35,of:0000000000000009,Port#:1,60,8082,7730,57,46,0,0,0,0,2,278,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,7,354,265,-1,TCP-SYN,Attack
36,36,of:0000000000000009,Port#:2,60,8082,7562,53,46,0,0,0,0,2,278,278,2,5,0,0,0,0,3,0,8209,0,8209,0,True,0,7,354,265,-1,TCP-SYN,Attack
37,37,of:0000000000000009,Port#:3,59,8040,16055,179,46,0,0,0,0,2,280,278,2,5,0,0,0,0,4,0,0,0,0,0,True,0,7,354,265,-1,TCP-SYN,Attack
38,38,of:000000000000000c,Port#:1,132,9181,6313015,247,56,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,True,0,9,1042,963,-1,TCP-SYN,Attack
39,39,of:000000000000000c,Port#:2,303,6312426,6320302,354,56,0,0,0,0,89,6150,5908709,150,5,0,0,0,0,2,604723,6047239,604723,6047239,604723,True,0,9,1042,963,-1,TCP-SYN,Attack
40,40,of:000000000000000c,Port#:3,418,12616148,17078,182,56,0,0,0,0,150,5908705,6710,93,5,0,0,0,0,3,0,0,0,0,0,True,0,9,1042,963,-1,TCP-SYN,Attack
41,41,of:000000000000000c,Port#:4,68,9032,17601,191,56,0,0,0,0,4,556,560,4,5,0,0,0,0,4,0,0,0,0,0,True,0,9,1042,963,-1,TCP-SYN,Attack
42,42,of:000000000000000a,Port#:1,188,6304547,17659,192,56,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,True,0,4,516,430,-1,TCP-SYN,Attack
43,43,of:000000000000000a,Port#:2,10,856,9292,69,56,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,True,0,4,516,430,-1,TCP-SYN,Attack
44,44,of:000000000000000a,Port#:3,69,9236,6312635,241,56,0,0,0,0,4,556,560,4,5,0,0,0,0,3,0,0,0,0,0,True,0,4,516,430,-1,TCP-SYN,Attack
45,45,of:000000000000000a,Port#:4,188,17209,9202,68,56,0,0,0,0,4,556,560,4,5,0,0,0,0,5,0,0,0,0,0,True,0,4,516,430,-1,TCP-SYN,Attack
46,46,of:000000000000000b,Port#:1,121,8487,6313114,248,56,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,True,0,6,424,367,-1,TCP-SYN,Attack
47,47,of:000000000000000b,Port#:2,70,9346,9360,71,56,0,0,0,0,5,630,560,4,5,0,0,0,0,2,0,0,0,0,0,True,0,6,424,367,-1,TCP-SYN,Attack
48,48,of:0000000000000003,Port#:1,186,6304415,17324,187,56,0,0,0,0,146,5908149,6776,94,5,0,0,0,0,1,781,7812,781,7812,781,True,0,8,1944,1856,-1,TCP-SYN,Attack
49,49,of:0000000000000003,Port#:2,704,40003,6344039,823,56,0,0,0,0,98,5292,5918,103,5,0,0,0,0,2,523,31050,523,31050,523,True,0,8,1944,1856,-1,TCP-SYN,Attack
50,50,of:0000000000000003,Port#:3,240,6312505,48051,757,56,0,0,0,0,4,556,5848,102,5,0,0,0,0,3,523,31050,523,31050,523,True,0,8,1944,1856,-1,TCP-SYN,Attack
51,51,of:0000000000000003,Port#:4,763,48332,9278,70,56,0,0,0,0,191,11998,556,4,5,0,0,0,0,4,0,0,0,0,0,True,0,8,1944,1856,-1,TCP-SYN,Attack
52,52,of:0000000000000004,Port#:1,645,40320,9078,66,56,0,0,0,0,101,5794,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,6,947,858,-1,TCP-SYN,Attack
53,53,of:0000000000000004,Port#:2,70,9278,48332,763,56,0,0,0,0,4,556,11944,190,5,0,0,0,0,2,1138,38862,1138,38862,1138,True,0,6,947,858,-1,TCP-SYN,Attack
54,54,of:0000000000000004,Port#:3,179,16880,9162,68,56,0,0,0,0,93,6706,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,6,947,858,-1,TCP-SYN,Attack
55,55,of:0000000000000001,Port#:1,11,942,9252,69,56,0,0,0,0,0,0,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,6,1335,1252,-1,TCP-SYN,Attack
56,56,of:0000000000000001,Port#:2,588,32044,40398,646,56,0,0,0,0,97,5238,5794,101,5,0,0,0,0,2,502,30564,502,30564,502,True,0,6,1335,1252,-1,TCP-SYN,Attack
57,57,of:0000000000000001,Port#:3,643,40224,9120,67,56,0,0,0,0,101,5794,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,6,1335,1252,-1,TCP-SYN,Attack
58,58,of:0000000000000001,Port#:4,64,8994,9162,68,56,0,0,0,0,4,556,556,4,5,0,0,0,0,4,0,0,0,0,0,True,0,6,1335,1252,-1,TCP-SYN,Attack
59,59,of:0000000000000002,Port#:1,186,6304411,17109,184,56,0,0,0,0,0,0,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,5,988,939,-1,TCP-SYN,Attack
60,60,of:0000000000000002,Port#:2,67,9120,40224,643,56,0,0,0,0,4,556,5794,101,5,0,0,0,0,2,502,30564,502,30564,502,True,0,5,988,939,-1,TCP-SYN,Attack
61,61,of:0000000000000007,Port#:1,66,9078,9036,65,56,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,5,428,329,-1,TCP-SYN,Attack
62,62,of:0000000000000007,Port#:2,243,6312659,9162,68,56,0,0,0,0,151,5908775,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,5,428,329,-1,TCP-SYN,Attack
63,63,of:0000000000000007,Port#:3,66,9110,6312505,240,56,0,0,0,0,4,556,5908705,150,5,0,0,0,0,3,590814,6303353,590814,6303353,590814,True,0,5,428,329,-1,TCP-SYN,Attack
64,64,of:0000000000000008,Port#:1,68,9162,17164,185,56,0,0,0,0,4,556,6706,93,5,0,0,0,0,1,0,0,0,0,0,True,0,6,682,588,-1,TCP-SYN,Attack
65,65,of:0000000000000008,Port#:2,240,6312505,9110,66,56,0,0,0,0,150,5908705,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,6,682,588,-1,TCP-SYN,Attack
66,66,of:0000000000000008,Port#:3,241,6312635,9236,69,56,0,0,0,0,4,560,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,6,682,588,-1,TCP-SYN,Attack
67,67,of:0000000000000005,Port#:1,68,9162,8994,64,56,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,5,414,331,-1,TCP-SYN,Attack
68,68,of:0000000000000005,Port#:2,244,6312705,9162,68,56,0,0,0,0,150,5908705,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,5,414,331,-1,TCP-SYN,Attack
69,69,of:0000000000000005,Port#:3,68,9162,9162,68,56,0,0,0,0,4,556,556,4,5,0,0,0,0,4,603894,6039814,603894,6039814,603894,True,0,5,414,331,-1,TCP-SYN,Attack
70,70,of:0000000000000006,Port#:1,68,9162,16880,179,56,0,0,0,0,4,556,6706,93,5,0,0,0,0,1,0,0,0,0,0,True,0,5,350,263,-1,TCP-SYN,Attack
71,71,of:0000000000000006,Port#:2,68,9162,9162,68,56,0,0,0,0,4,556,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,5,350,263,-1,TCP-SYN,Attack
72,72,of:0000000000000006,Port#:3,185,17164,9162,68,56,0,0,0,0,93,6706,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,5,350,263,-1,TCP-SYN,Attack
73,73,of:0000000000000009,Port#:1,69,9236,8884,66,56,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,4,382,293,-1,TCP-SYN,Attack
74,74,of:0000000000000009,Port#:2,69,9236,8674,61,56,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,4,382,293,-1,TCP-SYN,Attack
75,75,of:0000000000000009,Port#:3,68,9202,17209,188,56,0,0,0,0,4,560,556,4,5,0,0,0,0,4,0,0,0,0,0,True,0,4,382,293,-1,TCP-SYN,Attack
76,76,of:000000000000000c,Port#:1,298,6311791,6328307,412,146,0,0,0,0,163,6302428,6892,100,5,0,0,0,0,1,0,0,0,0,0,True,0,6,2367,2272,-1,TCP-SYN,Attack
77,77,of:000000000000000c,Port#:2,524,6327566,18936092,771,146,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,True,0,6,2367,2272,-1,TCP-SYN,Attack
78,78,of:000000000000000c,Port#:3,929,25238128,25828,246,146,0,0,0,0,100,6888,560,4,5,0,0,0,0,3,0,0,0,0,0,True,0,6,2367,2272,-1,TCP-SYN,Attack
79,79,of:000000000000000c,Port#:4,311,6321337,6351828,757,146,0,0,0,0,4,556,6302988,167,5,0,0,0,0,4,564600,5646004,564600,5646004,564600,True,0,6,2367,2272,-1,TCP-SYN,Attack
80,80,of:000000000000000a,Port#:1,478,12615885,6337645,546,146,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,True,0,4,1593,1491,-1,TCP-SYN,Attack
81,81,of:000000000000000a,Port#:2,12,996,18294,139,146,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,True,0,4,1593,1491,-1,TCP-SYN,Attack
82,82,of:000000000000000a,Port#:3,254,26067,18935992,766,146,0,0,0,0,4,556,560,4,5,0,0,0,0,3,0,0,0,0,0,True,0,4,1593,1491,-1,TCP-SYN,Attack
83,83,of:000000000000000a,Port#:4,543,6337179,18204,138,146,0,0,0,0,4,556,560,4,5,0,0,0,0,5,0,0,0,0,0,True,0,4,1593,1491,-1,TCP-SYN,Attack
84,84,of:000000000000000b,Port#:1,413,6319959,12633364,606,146,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,True,0,4,1143,1077,-1,TCP-SYN,Attack
85,85,of:000000000000000b,Port#:2,255,26207,6321855,316,146,0,0,0,0,4,560,560,4,4,0,0,0,0,2,0,0,0,0,0,True,0,4,1143,1077,-1,TCP-SYN,Attack
86,86,of:0000000000000003,Port#:1,188,6304555,26198,256,146,0,0,0,0,0,0,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,6,6487,6384,-1,TCP-SYN,Attack
87,87,of:0000000000000003,Port#:2,2840,6452671,19061013,3085,146,0,0,0,0,95,5130,5686,99,5,0,0,0,0,2,561,6427938,561,6427938,561,True,0,6,6487,6384,-1,TCP-SYN,Attack
88,88,of:0000000000000003,Port#:3,309,6321407,6461328,2838,146,0,0,0,0,4,556,5686,99,5,0,0,0,0,3,13202,132022,13202,132022,13202,True,0,6,6487,6384,-1,TCP-SYN,Attack
89,89,of:0000000000000003,Port#:4,3027,12765418,26151,256,146,0,0,0,0,99,5686,556,4,5,0,0,0,0,4,0,0,0,0,0,True,0,6,6487,6384,-1,TCP-SYN,Attack
90,90,of:0000000000000004,Port#:1,2905,12757214,17742,130,146,0,0,0,0,99,5702,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,5,3696,3591,-1,TCP-SYN,Attack
91,91,of:0000000000000004,Port#:2,256,26151,12765418,3027,146,0,0,0,0,4,556,5632,98,5,0,0,0,0,2,513,6427938,513,6427938,513,True,0,5,3696,3591,-1,TCP-SYN,Attack
92,92,of:0000000000000004,Port#:3,416,6328981,6329462,428,146,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,5,3696,3591,-1,TCP-SYN,Attack
93,93,of:0000000000000001,Port#:1,301,6312282,6329508,428,146,0,0,0,0,0,0,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,10,6936,6838,-1,TCP-SYN,Attack
94,94,of:0000000000000001,Port#:2,2675,12732842,157493,2661,146,0,0,0,0,95,5130,5686,99,5,0,0,0,0,2,507,131482,507,131482,507,True,0,10,6936,6838,-1,TCP-SYN,Attack
95,95,of:0000000000000001,Port#:3,3273,19073830,12639208,696,146,0,0,0,0,194,11976,6302984,167,5,0,0,0,0,3,0,0,0,0,0,True,0,10,6936,6838,-1,TCP-SYN,Attack
96,96,of:0000000000000001,Port#:4,624,6342957,12631160,580,146,0,0,0,0,167,6302984,6846,99,5,0,0,0,0,4,0,0,0,0,0,True,0,10,6936,6838,-1,TCP-SYN,Attack
97,97,of:0000000000000002,Port#:1,736,18924826,12647239,814,146,0,0,0,0,95,6290,6302984,167,5,0,0,0,0,1,0,0,0,0,0,True,0,8,4220,4161,-1,TCP-SYN,Attack
98,98,of:0000000000000002,Port#:2,696,12639208,19073830,3273,146,0,0,0,0,167,6302984,11976,194,5,0,0,0,0,2,699,126406,699,126406,699,True,0,8,4220,4161,-1,TCP-SYN,Attack
99,99,of:0000000000000007,Port#:1,133,17896,17770,130,146,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,5,1246,1132,-1,TCP-SYN,Attack
100,100,of:0000000000000007,Port#:2,754,18934587,25835,251,146,0,0,0,0,90,6234,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,5,1246,1132,-1,TCP-SYN,Attack
101,101,of:0000000000000007,Port#:3,244,25573,12631016,576,146,0,0,0,0,4,556,6234,90,5,0,0,0,0,3,621,6216,621,6216,621,True,0,5,1246,1132,-1,TCP-SYN,Attack
102,102,of:0000000000000008,Port#:1,254,26035,6329601,430,146,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,5,1815,1705,-1,TCP-SYN,Attack
103,103,of:0000000000000008,Port#:2,576,12631016,25573,244,146,0,0,0,0,100,6888,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,5,1815,1705,-1,TCP-SYN,Attack
104,104,of:0000000000000008,Port#:3,766,18935992,26067,254,146,0,0,0,0,4,560,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,5,1815,1705,-1,TCP-SYN,Attack
105,105,of:0000000000000005,Port#:1,580,12631160,6342957,624,146,0,0,0,0,100,6888,6302984,167,5,0,0,0,0,1,564600,5646004,564600,5646004,564600,True,0,6,1623,1524,-1,TCP-SYN,Attack
106,106,of:0000000000000005,Port#:2,314,6321649,18106,138,146,0,0,0,0,5,598,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,6,1623,1524,-1,TCP-SYN,Attack
107,107,of:0000000000000005,Port#:3,523,6335732,18106,138,146,0,0,0,0,167,6302984,556,4,5,0,0,0,0,4,535,5358,535,5358,535,True,0,6,1623,1524,-1,TCP-SYN,Attack
108,108,of:0000000000000006,Port#:1,428,6329462,6328981,416,146,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,5,1483,1380,-1,TCP-SYN,Attack
109,109,of:0000000000000006,Port#:2,138,18106,6335732,523,146,0,0,0,0,4,556,6302044,156,5,0,0,0,0,2,564600,5646004,564600,5646004,564600,True,0,5,1483,1380,-1,TCP-SYN,Attack
110,110,of:0000000000000006,Port#:3,430,6329601,26035,254,146,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,5,1483,1380,-1,TCP-SYN,Attack
111,111,of:0000000000000009,Port#:1,313,6321607,6335454,521,146,0,0,0,0,4,556,6302910,166,5,0,0,0,0,1,564600,5646004,564600,5646004,564600,True,0,5,1490,1385,-1,TCP-SYN,Attack
112,112,of:0000000000000009,Port#:2,312,6321541,17282,123,146,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,5,1490,1385,-1,TCP-SYN,Attack
113,113,of:0000000000000009,Port#:3,138,18204,6337179,543,146,0,0,0,0,4,560,556,4,5,0,0,0,0,4,0,0,0,0,0,True,0,5,1490,1385,-1,TCP-SYN,Attack
114,114,of:000000000000000c,Port#:1,188,6304531,30197,286,191,0,0,0,0,0,0,560,4,4,0,0,0,0,1,0,0,0,0,0,True,0,8,7765,7665,-1,TCP-SYN,Attack
115,115,of:000000000000000c,Port#:2,660,6336789,25244036,983,191,0,0,0,0,0,0,560,4,4,0,0,0,0,2,0,6303352,0,6303352,0,True,0,8,7765,7665,-1,TCP-SYN,Attack
116,116,of:000000000000000c,Port#:3,625,12636474,186413,3178,191,0,0,0,0,4,556,5636,98,4,0,0,0,0,3,464,156006,464,156006,464,True,0,8,7765,7665,-1,TCP-SYN,Attack
117,117,of:000000000000000c,Port#:4,3080,179186,6334107,467,191,0,0,0,0,98,5632,560,4,5,0,0,0,0,4,0,8077,0,8077,0,True,0,8,7765,7665,-1,TCP-SYN,Attack
118,118,of:000000000000000a,Port#:1,991,31525535,6364601,910,191,0,0,0,0,20,394809,1827,19,5,0,0,0,0,1,0,0,0,0,0,True,0,6,3112,3013,-1,TCP-SYN,Attack
119,119,of:000000000000000a,Port#:2,427,6320894,12636766,628,191,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,True,0,6,3112,3013,-1,TCP-SYN,Attack
120,120,of:000000000000000a,Port#:3,165,21956,31562256,1369,191,0,0,0,0,4,556,560,4,5,0,0,0,0,3,0,0,0,0,0,True,0,6,3112,3013,-1,TCP-SYN,Attack
121,121,of:000000000000000a,Port#:4,1247,18970522,22292,170,191,0,0,0,0,4,556,560,4,5,0,0,0,0,5,0,0,0,0,0,True,0,6,3112,3013,-1,TCP-SYN,Attack
122,122,of:000000000000000b,Port#:1,3224,6470214,6491345,3378,191,0,0,0,0,107,6223,269121,114,5,0,0,0,0,1,39988,6460097,39988,6460097,39988,True,0,8,6764,6695,-1,TCP-SYN,Attack
123,123,of:000000000000000b,Port#:2,348,6325959,30749,294,191,0,0,0,0,19,263819,1761,18,5,0,0,0,0,2,0,0,0,0,0,True,0,8,6764,6695,-1,TCP-SYN,Attack
124,124,of:0000000000000003,Port#:1,411,6319819,12636509,626,191,0,0,0,0,0,0,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,4,1665,1571,-1,TCP-SYN,Attack
125,125,of:0000000000000003,Port#:2,128,8977,6325807,346,191,0,0,0,0,0,0,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,4,1665,1571,-1,TCP-SYN,Attack
126,126,of:0000000000000003,Port#:3,278,29623,6332660,441,191,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,4,1665,1571,-1,TCP-SYN,Attack
127,127,of:0000000000000003,Port#:4,691,18932439,37544,394,191,0,0,0,0,4,556,556,4,5,0,0,0,0,4,0,0,0,0,0,True,0,4,1665,1571,-1,TCP-SYN,Attack
128,128,of:0000000000000004,Port#:1,1009,18954505,21872,163,191,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,4,2058,1947,-1,TCP-SYN,Attack
129,129,of:0000000000000004,Port#:2,394,37544,18932439,691,191,0,0,0,0,4,556,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,4,2058,1947,-1,TCP-SYN,Attack
130,130,of:0000000000000004,Port#:3,501,12628322,12666900,1070,191,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,4,2058,1947,-1,TCP-SYN,Attack
131,131,of:0000000000000001,Port#:1,3031,165574,6482501,3250,191,0,0,0,0,93,5022,5578,97,5,0,0,0,0,1,464,156006,464,156006,464,True,0,8,8575,8481,-1,TCP-SYN,Attack
132,132,of:0000000000000001,Port#:2,645,18918883,6348139,671,191,0,0,0,0,0,0,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,8,8575,8481,-1,TCP-SYN,Attack
133,133,of:0000000000000001,Port#:3,730,12643920,6342214,586,191,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,8077,0,8077,0,True,0,8,8575,8481,-1,TCP-SYN,Attack
134,134,of:0000000000000001,Port#:4,4041,19120053,12785921,3425,191,0,0,0,0,97,5578,5578,97,5,0,0,0,0,4,464,6459358,464,6459358,464,True,0,8,8575,8481,-1,TCP-SYN,Attack
135,135,of:0000000000000002,Port#:1,583,12623084,12645633,760,191,0,0,0,0,0,0,556,4,4,0,0,0,0,1,0,8077,0,8077,0,True,0,6,1605,1536,-1,TCP-SYN,Attack
