,Unnamed: 0.1,Unnamed: 0,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Packets Rx Dropped,Packets Tx Dropped,Packets Rx Errors,Packets Tx Errors,Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Delta Packets Rx Dropped, Delta Packets Tx Dropped,Delta Packets Rx Errors,Delta Packets Tx Errors,Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,is_valid,Table ID,Active Flow Entries,Packets Looked Up,Packets Matched,Max Size,Switch ID_of:0000000000000002,Switch ID_of:0000000000000003,Switch ID_of:0000000000000004,Switch ID_of:0000000000000005,Switch ID_of:0000000000000006,Switch ID_of:0000000000000007,Switch ID_of:0000000000000008,Switch ID_of:0000000000000009,Switch ID_of:000000000000000a,Switch ID_of:000000000000000b,Switch ID_of:000000000000000c,Port Number_Port#:2,Port Number_Port#:3,Port Number_Port#:4
46,46,46,121,8487,6313114,248,56,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,True,0,6,424,367,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,47,47,70,9346,9360,71,56,0,0,0,0,5,630,560,4,5,0,0,0,0,2,0,0,0,0,0,True,0,6,424,367,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
48,48,48,186,6304415,17324,187,56,0,0,0,0,146,5908149,6776,94,5,0,0,0,0,1,781,7812,781,7812,781,True,0,8,1944,1856,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,49,49,704,40003,6344039,823,56,0,0,0,0,98,5292,5918,103,5,0,0,0,0,2,523,31050,523,31050,523,True,0,8,1944,1856,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
50,50,50,240,6312505,48051,757,56,0,0,0,0,4,556,5848,102,5,0,0,0,0,3,523,31050,523,31050,523,True,0,8,1944,1856,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
51,51,51,763,48332,9278,70,56,0,0,0,0,191,11998,556,4,5,0,0,0,0,4,0,0,0,0,0,True,0,8,1944,1856,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
52,52,52,645,40320,9078,66,56,0,0,0,0,101,5794,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,6,947,858,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,53,53,70,9278,48332,763,56,0,0,0,0,4,556,11944,190,5,0,0,0,0,2,1138,38862,1138,38862,1138,True,0,6,947,858,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
54,54,54,179,16880,9162,68,56,0,0,0,0,93,6706,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,6,947,858,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
55,55,55,11,942,9252,69,56,0,0,0,0,0,0,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,6,1335,1252,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,56,588,32044,40398,646,56,0,0,0,0,97,5238,5794,101,5,0,0,0,0,2,502,30564,502,30564,502,True,0,6,1335,1252,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,57,57,643,40224,9120,67,56,0,0,0,0,101,5794,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,6,1335,1252,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,58,58,64,8994,9162,68,56,0,0,0,0,4,556,556,4,5,0,0,0,0,4,0,0,0,0,0,True,0,6,1335,1252,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,59,59,186,6304411,17109,184,56,0,0,0,0,0,0,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,5,988,939,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,60,67,9120,40224,643,56,0,0,0,0,4,556,5794,101,5,0,0,0,0,2,502,30564,502,30564,502,True,0,5,988,939,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
61,61,61,66,9078,9036,65,56,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,5,428,329,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
62,62,62,243,6312659,9162,68,56,0,0,0,0,151,5908775,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,5,428,329,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
63,63,63,66,9110,6312505,240,56,0,0,0,0,4,556,5908705,150,5,0,0,0,0,3,590814,6303353,590814,6303353,590814,True,0,5,428,329,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
64,64,64,68,9162,17164,185,56,0,0,0,0,4,556,6706,93,5,0,0,0,0,1,0,0,0,0,0,True,0,6,682,588,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
65,65,65,240,6312505,9110,66,56,0,0,0,0,150,5908705,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,6,682,588,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
66,66,66,241,6312635,9236,69,56,0,0,0,0,4,560,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,6,682,588,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
67,67,67,68,9162,8994,64,56,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,5,414,331,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68,68,68,244,6312705,9162,68,56,0,0,0,0,150,5908705,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,5,414,331,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
69,69,69,68,9162,9162,68,56,0,0,0,0,4,556,556,4,5,0,0,0,0,4,603894,6039814,603894,6039814,603894,True,0,5,414,331,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
70,70,70,68,9162,16880,179,56,0,0,0,0,4,556,6706,93,5,0,0,0,0,1,0,0,0,0,0,True,0,5,350,263,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71,71,71,68,9162,9162,68,56,0,0,0,0,4,556,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,5,350,263,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
72,72,72,185,17164,9162,68,56,0,0,0,0,93,6706,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,5,350,263,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
73,73,73,69,9236,8884,66,56,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,4,382,293,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
74,74,74,69,9236,8674,61,56,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,4,382,293,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
75,75,75,68,9202,17209,188,56,0,0,0,0,4,560,556,4,5,0,0,0,0,4,0,0,0,0,0,True,0,4,382,293,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
76,76,76,298,6311791,6328307,412,146,0,0,0,0,163,6302428,6892,100,5,0,0,0,0,1,0,0,0,0,0,True,0,6,2367,2272,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77,77,77,524,6327566,18936092,771,146,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,True,0,6,2367,2272,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
78,78,78,929,25238128,25828,246,146,0,0,0,0,100,6888,560,4,5,0,0,0,0,3,0,0,0,0,0,True,0,6,2367,2272,-1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
79,79,79,311,6321337,6351828,757,146,0,0,0,0,4,556,6302988,167,5,0,0,0,0,4,564600,5646004,564600,5646004,564600,True,0,6,2367,2272,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
80,80,80,478,12615885,6337645,546,146,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,True,0,4,1593,1491,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81,81,81,12,996,18294,139,146,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,True,0,4,1593,1491,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
82,82,82,254,26067,18935992,766,146,0,0,0,0,4,556,560,4,5,0,0,0,0,3,0,0,0,0,0,True,0,4,1593,1491,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
83,83,83,543,6337179,18204,138,146,0,0,0,0,4,556,560,4,5,0,0,0,0,5,0,0,0,0,0,True,0,4,1593,1491,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
84,84,84,413,6319959,12633364,606,146,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,True,0,4,1143,1077,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,85,85,255,26207,6321855,316,146,0,0,0,0,4,560,560,4,4,0,0,0,0,2,0,0,0,0,0,True,0,4,1143,1077,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
86,86,86,188,6304555,26198,256,146,0,0,0,0,0,0,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,6,6487,6384,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
87,87,87,2840,6452671,19061013,3085,146,0,0,0,0,95,5130,5686,99,5,0,0,0,0,2,561,6427938,561,6427938,561,True,0,6,6487,6384,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
88,88,88,309,6321407,6461328,2838,146,0,0,0,0,4,556,5686,99,5,0,0,0,0,3,13202,132022,13202,132022,13202,True,0,6,6487,6384,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
89,89,89,3027,12765418,26151,256,146,0,0,0,0,99,5686,556,4,5,0,0,0,0,4,0,0,0,0,0,True,0,6,6487,6384,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
90,90,90,2905,12757214,17742,130,146,0,0,0,0,99,5702,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,5,3696,3591,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91,91,91,256,26151,12765418,3027,146,0,0,0,0,4,556,5632,98,5,0,0,0,0,2,513,6427938,513,6427938,513,True,0,5,3696,3591,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
92,92,92,416,6328981,6329462,428,146,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,5,3696,3591,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
93,93,93,301,6312282,6329508,428,146,0,0,0,0,0,0,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,10,6936,6838,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,94,94,2675,12732842,157493,2661,146,0,0,0,0,95,5130,5686,99,5,0,0,0,0,2,507,131482,507,131482,507,True,0,10,6936,6838,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
95,95,95,3273,19073830,12639208,696,146,0,0,0,0,194,11976,6302984,167,5,0,0,0,0,3,0,0,0,0,0,True,0,10,6936,6838,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,96,96,624,6342957,12631160,580,146,0,0,0,0,167,6302984,6846,99,5,0,0,0,0,4,0,0,0,0,0,True,0,10,6936,6838,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,97,97,736,18924826,12647239,814,146,0,0,0,0,95,6290,6302984,167,5,0,0,0,0,1,0,0,0,0,0,True,0,8,4220,4161,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,98,98,696,12639208,19073830,3273,146,0,0,0,0,167,6302984,11976,194,5,0,0,0,0,2,699,126406,699,126406,699,True,0,8,4220,4161,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
99,99,99,133,17896,17770,130,146,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,5,1246,1132,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100,100,100,754,18934587,25835,251,146,0,0,0,0,90,6234,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,5,1246,1132,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
101,101,101,244,25573,12631016,576,146,0,0,0,0,4,556,6234,90,5,0,0,0,0,3,621,6216,621,6216,621,True,0,5,1246,1132,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
102,102,102,254,26035,6329601,430,146,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,5,1815,1705,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
103,103,103,576,12631016,25573,244,146,0,0,0,0,100,6888,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,5,1815,1705,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
104,104,104,766,18935992,26067,254,146,0,0,0,0,4,560,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,5,1815,1705,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
105,105,105,580,12631160,6342957,624,146,0,0,0,0,100,6888,6302984,167,5,0,0,0,0,1,564600,5646004,564600,5646004,564600,True,0,6,1623,1524,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106,106,106,314,6321649,18106,138,146,0,0,0,0,5,598,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,6,1623,1524,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
107,107,107,523,6335732,18106,138,146,0,0,0,0,167,6302984,556,4,5,0,0,0,0,4,535,5358,535,5358,535,True,0,6,1623,1524,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
108,108,108,428,6329462,6328981,416,146,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,5,1483,1380,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
109,109,109,138,18106,6335732,523,146,0,0,0,0,4,556,6302044,156,5,0,0,0,0,2,564600,5646004,564600,5646004,564600,True,0,5,1483,1380,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
110,110,110,430,6329601,26035,254,146,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,5,1483,1380,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
111,111,111,313,6321607,6335454,521,146,0,0,0,0,4,556,6302910,166,5,0,0,0,0,1,564600,5646004,564600,5646004,564600,True,0,5,1490,1385,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
112,112,112,312,6321541,17282,123,146,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,5,1490,1385,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
113,113,113,138,18204,6337179,543,146,0,0,0,0,4,560,556,4,5,0,0,0,0,4,0,0,0,0,0,True,0,5,1490,1385,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
114,114,114,188,6304531,30197,286,191,0,0,0,0,0,0,560,4,4,0,0,0,0,1,0,0,0,0,0,True,0,8,7765,7665,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
115,115,115,660,6336789,25244036,983,191,0,0,0,0,0,0,560,4,4,0,0,0,0,2,0,6303352,0,6303352,0,True,0,8,7765,7665,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
116,116,116,625,12636474,186413,3178,191,0,0,0,0,4,556,5636,98,4,0,0,0,0,3,464,156006,464,156006,464,True,0,8,7765,7665,-1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
117,117,117,3080,179186,6334107,467,191,0,0,0,0,98,5632,560,4,5,0,0,0,0,4,0,8077,0,8077,0,True,0,8,7765,7665,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
118,118,118,991,31525535,6364601,910,191,0,0,0,0,20,394809,1827,19,5,0,0,0,0,1,0,0,0,0,0,True,0,6,3112,3013,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
119,119,119,427,6320894,12636766,628,191,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,True,0,6,3112,3013,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
120,120,120,165,21956,31562256,1369,191,0,0,0,0,4,556,560,4,5,0,0,0,0,3,0,0,0,0,0,True,0,6,3112,3013,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
121,121,121,1247,18970522,22292,170,191,0,0,0,0,4,556,560,4,5,0,0,0,0,5,0,0,0,0,0,True,0,6,3112,3013,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
122,122,122,3224,6470214,6491345,3378,191,0,0,0,0,107,6223,269121,114,5,0,0,0,0,1,39988,6460097,39988,6460097,39988,True,0,8,6764,6695,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123,123,123,348,6325959,30749,294,191,0,0,0,0,19,263819,1761,18,5,0,0,0,0,2,0,0,0,0,0,True,0,8,6764,6695,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
124,124,124,411,6319819,12636509,626,191,0,0,0,0,0,0,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,4,1665,1571,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,125,125,128,8977,6325807,346,191,0,0,0,0,0,0,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,4,1665,1571,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
126,126,126,278,29623,6332660,441,191,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,4,1665,1571,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
127,127,127,691,18932439,37544,394,191,0,0,0,0,4,556,556,4,5,0,0,0,0,4,0,0,0,0,0,True,0,4,1665,1571,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
128,128,128,1009,18954505,21872,163,191,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,4,2058,1947,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
