,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Connection Point,Total Load/Rate,Total Load/Latest,Active Flow Entries,Switch ID_of:0000000000000002,Switch ID_of:0000000000000003,Switch ID_of:0000000000000004,Switch ID_of:0000000000000005,Switch ID_of:0000000000000006,Switch ID_of:0000000000000007,Switch ID_of:0000000000000008,Switch ID_of:0000000000000009,Switch ID_of:000000000000000a,Switch ID_of:000000000000000b,Switch ID_of:000000000000000c,Port Number_Port#:2,Port Number_Port#:3,Port Number_Port#:4
19,442,28702,8008,59,46,101,5624,278,2,5,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,56,7882,8008,59,46,2,278,278,2,5,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,186,6304411,15955,175,46,0,0,278,2,5,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,59,8008,28702,442,46,2,278,5624,101,5,2,540,20412,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0
23,57,7924,7924,57,46,2,278,278,2,5,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,59,8008,8008,59,46,2,278,278,2,5,2,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0
25,58,7998,7924,57,46,2,278,278,2,5,3,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0
26,59,8008,8082,60,46,2,278,278,2,5,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,57,7924,7998,58,46,2,278,278,2,5,2,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0
28,233,6311515,8082,60,46,2,280,278,2,5,3,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0
29,59,8008,7882,56,46,2,278,278,2,5,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,61,8124,8008,59,46,2,278,278,2,5,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0
31,59,8008,8008,59,46,2,278,278,2,5,4,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0
32,59,8008,7840,55,46,2,278,278,2,5,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,59,8008,8008,59,46,2,278,278,2,5,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0
34,60,8082,8008,59,46,2,278,278,2,5,3,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0
35,60,8082,7730,57,46,2,278,278,2,5,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,60,8082,7562,53,46,2,278,278,2,5,3,0,8209,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0
37,59,8040,16055,179,46,2,280,278,2,5,4,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0
38,132,9181,6313015,247,56,0,0,560,4,5,1,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,303,6312426,6320302,354,56,89,6150,5908709,150,5,2,604723,6047239,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0
40,418,12616148,17078,182,56,150,5908705,6710,93,5,3,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0
41,68,9032,17601,191,56,4,556,560,4,5,4,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1
42,188,6304547,17659,192,56,0,0,560,4,5,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,10,856,9292,69,56,0,0,560,4,5,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0
44,69,9236,6312635,241,56,4,556,560,4,5,3,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0
45,188,17209,9202,68,56,4,556,560,4,5,5,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1
46,121,8487,6313114,248,56,0,0,560,4,5,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,70,9346,9360,71,56,5,630,560,4,5,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0
48,186,6304415,17324,187,56,146,5908149,6776,94,5,1,781,7812,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,704,40003,6344039,823,56,98,5292,5918,103,5,2,523,31050,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0
50,240,6312505,48051,757,56,4,556,5848,102,5,3,523,31050,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0
51,763,48332,9278,70,56,191,11998,556,4,5,4,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1
52,645,40320,9078,66,56,101,5794,556,4,5,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,70,9278,48332,763,56,4,556,11944,190,5,2,1138,38862,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0
54,179,16880,9162,68,56,93,6706,556,4,5,3,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
55,11,942,9252,69,56,0,0,556,4,5,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,588,32044,40398,646,56,97,5238,5794,101,5,2,502,30564,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,643,40224,9120,67,56,101,5794,556,4,5,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,64,8994,9162,68,56,4,556,556,4,5,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,186,6304411,17109,184,56,0,0,556,4,5,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,67,9120,40224,643,56,4,556,5794,101,5,2,502,30564,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0
61,66,9078,9036,65,56,4,556,556,4,5,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
62,243,6312659,9162,68,56,151,5908775,556,4,5,2,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0
63,66,9110,6312505,240,56,4,556,5908705,150,5,3,590814,6303353,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0
64,68,9162,17164,185,56,4,556,6706,93,5,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
65,240,6312505,9110,66,56,150,5908705,556,4,5,2,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0
66,241,6312635,9236,69,56,4,560,556,4,5,3,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0
67,68,9162,8994,64,56,4,556,556,4,5,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68,244,6312705,9162,68,56,150,5908705,556,4,5,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0
69,68,9162,9162,68,56,4,556,556,4,5,4,603894,6039814,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0
70,68,9162,16880,179,56,4,556,6706,93,5,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71,68,9162,9162,68,56,4,556,556,4,5,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0
72,185,17164,9162,68,56,93,6706,556,4,5,3,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0
73,69,9236,8884,66,56,4,556,556,4,5,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
74,69,9236,8674,61,56,4,556,556,4,5,3,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0
75,68,9202,17209,188,56,4,560,556,4,5,4,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0
76,298,6311791,6328307,412,146,163,6302428,6892,100,5,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77,524,6327566,18936092,771,146,0,0,560,4,5,2,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0
78,929,25238128,25828,246,146,100,6888,560,4,5,3,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0
79,311,6321337,6351828,757,146,4,556,6302988,167,5,4,564600,5646004,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1
80,478,12615885,6337645,546,146,0,0,560,4,5,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81,12,996,18294,139,146,0,0,560,4,5,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0
82,254,26067,18935992,766,146,4,556,560,4,5,3,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0
83,543,6337179,18204,138,146,4,556,560,4,5,5,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1
84,413,6319959,12633364,606,146,0,0,560,4,5,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,255,26207,6321855,316,146,4,560,560,4,4,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0
86,188,6304555,26198,256,146,0,0,556,4,5,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
87,2840,6452671,19061013,3085,146,95,5130,5686,99,5,2,561,6427938,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0
88,309,6321407,6461328,2838,146,4,556,5686,99,5,3,13202,132022,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0
89,3027,12765418,26151,256,146,99,5686,556,4,5,4,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1
90,2905,12757214,17742,130,146,99,5702,556,4,5,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91,256,26151,12765418,3027,146,4,556,5632,98,5,2,513,6427938,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0
92,416,6328981,6329462,428,146,4,556,556,4,5,3,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
93,301,6312282,6329508,428,146,0,0,556,4,5,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2675,12732842,157493,2661,146,95,5130,5686,99,5,2,507,131482,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0
95,3273,19073830,12639208,696,146,194,11976,6302984,167,5,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,624,6342957,12631160,580,146,167,6302984,6846,99,5,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,736,18924826,12647239,814,146,95,6290,6302984,167,5,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,696,12639208,19073830,3273,146,167,6302984,11976,194,5,2,699,126406,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0
99,133,17896,17770,130,146,4,556,556,4,5,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100,754,18934587,25835,251,146,90,6234,556,4,5,2,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0
101,244,25573,12631016,576,146,4,556,6234,90,5,3,621,6216,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0
102,254,26035,6329601,430,146,4,556,556,4,5,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
103,576,12631016,25573,244,146,100,6888,556,4,5,2,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0
104,766,18935992,26067,254,146,4,560,556,4,5,3,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0
105,580,12631160,6342957,624,146,100,6888,6302984,167,5,1,564600,5646004,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106,314,6321649,18106,138,146,5,598,556,4,5,2,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0
107,523,6335732,18106,138,146,167,6302984,556,4,5,4,535,5358,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0
108,428,6329462,6328981,416,146,4,556,556,4,5,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
109,138,18106,6335732,523,146,4,556,6302044,156,5,2,564600,5646004,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0
110,430,6329601,26035,254,146,4,556,556,4,5,3,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0
111,313,6321607,6335454,521,146,4,556,6302910,166,5,1,564600,5646004,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
112,312,6321541,17282,123,146,4,556,556,4,5,3,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0
113,138,18204,6337179,543,146,4,560,556,4,5,4,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0
114,188,6304531,30197,286,191,0,0,560,4,4,1,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0
115,660,6336789,25244036,983,191,0,0,560,4,4,2,0,6303352,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0
116,625,12636474,186413,3178,191,4,556,5636,98,4,3,464,156006,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0
117,3080,179186,6334107,467,191,98,5632,560,4,5,4,0,8077,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1
118,991,31525535,6364601,910,191,20,394809,1827,19,5,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
119,427,6320894,12636766,628,191,0,0,560,4,5,2,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0
120,165,21956,31562256,1369,191,4,556,560,4,5,3,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0
121,1247,18970522,22292,170,191,4,556,560,4,5,5,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1
122,3224,6470214,6491345,3378,191,107,6223,269121,114,5,1,39988,6460097,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123,348,6325959,30749,294,191,19,263819,1761,18,5,2,0,0,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0
124,411,6319819,12636509,626,191,0,0,556,4,5,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,128,8977,6325807,346,191,0,0,556,4,5,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0
126,278,29623,6332660,441,191,4,556,556,4,5,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
127,691,18932439,37544,394,191,4,556,556,4,5,4,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1
128,1009,18954505,21872,163,191,4,556,556,4,5,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
129,394,37544,18932439,691,191,4,556,556,4,5,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0
130,501,12628322,12666900,1070,191,4,556,556,4,5,3,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
131,3031,165574,6482501,3250,191,93,5022,5578,97,5,1,464,156006,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,645,18918883,6348139,671,191,0,0,556,4,5,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0
133,730,12643920,6342214,586,191,4,556,556,4,5,3,0,8077,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0
134,4041,19120053,12785921,3425,191,97,5578,5578,97,5,4,464,6459358,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,583,12623084,12645633,760,191,0,0,556,4,4,1,0,8077,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,586,6342214,12643920,730,191,4,556,556,4,4,2,0,6303352,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0
137,159,21704,21872,163,191,4,556,556,4,4,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
138,3425,12785901,19112586,3938,191,98,5632,5632,98,4,2,464,156006,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0
139,3933,19112376,12628491,506,191,98,5632,556,4,4,3,0,6303352,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0
140,169,22124,12629036,518,191,4,556,556,4,5,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
141,506,12628491,19112376,3933,191,4,556,5632,98,5,2,464,156006,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0
142,1369,31562256,21956,165,191,4,560,556,4,5,3,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0
143,3426,12785975,19120107,4042,191,98,5632,5632,98,4,1,464,164083,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
144,169,22124,22198,170,191,4,556,556,4,4,2,0,0,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0
145,289,30317,22124,169,191,4,556,556,4,4,4,464,6459358,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0
146,1070,12666900,12628322,501,191,4,556,556,4,5,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
147,169,22124,30317,289,191,4,556,556,4,5,2,0,8077,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0
148,518,12629036,22124,169,191,4,556,556,4,5,3,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0
149,1071,12666942,30317,289,191,4,556,556,4,5,1,0,8077,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
150,3078,179102,21452,153,191,98,5632,556,4,5,3,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0
151,170,22292,18970522,1247,191,4,560,556,4,5,4,464,156006,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0
152,362,12607952,38325,398,201,20,394827,1896,22,5,1,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0
153,660,6336789,25244918,990,201,0,0,280,2,5,2,0,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0
154,737,12644596,197555,3375,201,22,1894,5464,98,5,3,480,166320,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0
155,3277,190322,12638368,647,201,98,5462,395107,22,5,4,630330,6303305,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1
156,1097,31532823,12668862,1090,201,20,1616,395107,22,5,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0
157,427,6320894,12637648,635,201,0,0,280,2,5,2,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0
158,172,22832,31570384,1481,201,2,278,1896,22,5,3,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0
159,1427,25274777,23174,177,201,22,395105,280,2,5,5,0,6303551,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1
160,3414,6480474,6502487,3575,201,95,5130,5410,97,5,1,518,6470357,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0
161,355,6326841,31631,301,201,2,280,280,2,5,2,0,0,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0
162,411,6319819,12637385,633,201,0,0,278,2,5,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
163,128,8977,6326683,353,201,0,0,278,2,5,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0
164,285,30499,6333494,447,201,2,278,278,2,5,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
165,698,18933315,38420,401,201,2,278,278,2,5,4,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1
166,1015,18955339,22748,170,201,2,278,278,2,5,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
167,401,38420,18933315,698,201,2,278,278,2,5,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0
168,507,12629156,12667776,1077,201,2,278,278,2,5,3,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
169,3221,175834,6493637,3447,201,96,5184,5462,98,5,1,480,166320,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,645,18918883,6349015,678,201,0,0,278,2,5,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
171,736,12644754,6343090,593,201,2,278,278,2,5,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
172,4237,19131147,12797057,3622,201,98,5462,5462,98,5,4,16632,166320,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
173,583,12623084,12646509,767,201,0,0,278,2,5,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
174,593,6343090,12644754,736,201,2,278,278,2,5,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0
175,165,22538,22748,170,201,2,278,278,2,5,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
176,3622,12797037,19123722,4135,201,97,5408,5408,97,5,2,480,166320,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0
177,4130,19123512,12629325,512,201,97,5408,278,2,5,3,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0
178,176,23000,12629912,525,201,2,278,278,2,5,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
179,512,12629325,19123512,4130,201,2,278,5408,97,5,2,480,166320,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0
180,1481,31570384,22832,172,201,22,1896,278,2,5,3,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0
181,3623,12797111,19131201,4238,201,97,5408,5408,97,5,1,16632,166320,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0
182,176,23000,23074,177,201,2,278,278,2,5,2,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0
183,296,31193,23000,176,201,2,278,278,2,5,4,16632,166320,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0
184,1077,12667776,12629156,507,201,2,278,278,2,5,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
185,176,23000,31193,296,201,2,278,278,2,5,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0
186,525,12629912,23000,176,201,2,278,278,2,5,3,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0
187,1078,12667818,31193,296,201,2,278,278,2,5,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
188,3275,190238,22286,159,201,98,5462,278,2,5,3,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0
189,177,23174,25274777,1427,201,2,280,395105,22,5,4,480,166320,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0
190,362,12607952,39445,406,211,0,0,560,4,5,1,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0
191,660,6336789,25246038,998,211,0,0,560,4,5,2,0,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0
192,745,12645708,208815,3571,211,4,556,5624,98,5,3,507,176472,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0
193,3473,201574,12639488,655,211,98,5620,560,4,5,4,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1
194,1270,37836184,12677141,1202,211,20,394809,2089,23,5,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0
195,427,6320894,12638768,643,211,0,0,560,4,5,2,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0
196,180,23944,31571504,1489,211,4,556,560,4,5,3,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0
197,1435,25275889,24294,185,211,4,556,560,4,5,5,105115,12606912,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1
198,3707,6497827,12817162,3945,211,112,6551,400391,117,5,1,39983,12783816,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0
199,536,12631322,39910,413,211,24,395369,2089,23,5,2,0,0,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0
200,411,6319819,12638497,641,211,0,0,556,4,5,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
201,128,8977,6327795,361,211,0,0,556,4,5,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0
202,293,31611,6334606,455,211,4,556,556,4,5,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
203,706,18934427,39532,409,211,4,556,556,4,5,4,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1
204,1023,18956451,23860,178,211,4,556,556,4,4,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
205,409,39532,18934427,706,211,4,556,556,4,4,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0
206,515,12630268,12668888,1085,211,4,556,556,4,4,3,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
207,3409,185974,6504889,3643,211,94,5064,5620,98,5,1,507,176472,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,645,18918883,6350127,686,211,0,0,556,4,5,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
209,744,12645866,6344202,601,211,4,556,556,4,4,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
210,4433,19142399,12808309,3818,211,98,5620,5620,98,5,4,507,176472,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
211,583,12623084,12647621,775,211,0,0,556,4,5,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
212,601,6344202,12645866,744,211,4,556,556,4,5,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0
213,173,23650,23860,178,211,4,556,556,4,5,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
