,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Connection Point,Total Load/Rate,Total Load/Latest,Active Flow Entries,Switch ID_of:0000000000000002,Switch ID_of:0000000000000003,Switch ID_of:0000000000000004,Switch ID_of:0000000000000005,Switch ID_of:0000000000000006,Switch ID_of:0000000000000007,Switch ID_of:0000000000000008,Switch ID_of:0000000000000009,Switch ID_of:000000000000000a,Switch ID_of:000000000000000b,Switch ID_of:000000000000000c,Port Number_Port#:2,Port Number_Port#:3,Port Number_Port#:4
2017,1468,80216,164422,2090,913,94,5076,5636,98,5,1,469,75708,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2018,398,12610548,103340,898,913,0,0,560,4,5,2,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2019,683,88046,12767882,2376,913,4,556,5636,98,5,3,469,75708,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2020,187,6304489,27675,261,166,0,0,560,4,5,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021,12,996,19854,147,166,0,0,560,4,5,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2022,257,27301,12626186,486,166,4,556,560,4,5,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2023,268,27955,19674,145,166,4,556,560,4,5,4,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2024,125,8727,6323280,321,166,0,0,560,4,5,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025,12,996,19764,146,166,0,0,560,4,5,2,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2026,2152,127894,135357,2256,166,107,6118,6122,107,5,3,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2027,319,6322990,19674,145,166,4,556,560,4,5,5,550,108054,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2028,2193,6412729,136121,2272,166,103,5562,6122,107,5,1,604,108054,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2029,2152,128004,127682,2149,166,107,6122,6122,107,5,2,604,108054,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2030,363,12608000,35642,384,166,0,0,556,4,5,1,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2031,4773,12719483,19163890,4954,166,365,6182264,17490,297,5,2,2236,19136151,12,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2032,2659,12744458,12621149,2774,166,194,11928,6177258,266,5,3,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2033,2382,143572,6431126,2326,166,107,6118,6118,107,5,4,-10200,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2034,258,27343,19522,144,166,4,556,556,4,5,1,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2035,2325,6431072,143518,2381,166,106,6064,6064,106,5,2,-10200,0,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2036,2257,135277,6431350,2327,166,106,6064,6064,106,5,3,-10200,0,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2037,251,17336,12626460,494,166,0,0,556,4,5,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,302,6282635,6331105,440,166,0,0,556,4,5,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2039,430,6330637,6293170,317,166,4,556,556,4,5,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2040,487,12626118,35902,385,166,4,556,556,4,5,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2041,2643,12733856,12592014,2782,166,191,11426,6177312,267,5,1,604591,6167124,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2042,317,6293170,6330637,430,166,4,556,556,4,5,2,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2043,144,19522,19438,142,166,4,556,556,4,5,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2044,385,35902,12626370,493,166,4,556,556,4,5,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2045,486,12626076,27301,257,166,4,556,556,4,5,3,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2046,2151,127840,135529,2263,166,107,6118,6118,107,5,1,-10200,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2047,257,27301,12626076,486,166,4,556,556,4,5,2,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2048,2255,135303,127840,2151,166,107,6122,6118,107,5,3,604,108054,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2049,385,35902,12626118,487,166,4,556,556,4,4,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2050,145,19370,19732,149,166,4,556,556,4,4,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2051,147,19648,19648,147,166,4,556,556,4,4,3,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2052,2328,6431404,135331,2258,166,107,6118,6118,107,5,1,-10254,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2053,147,19648,19648,147,166,4,556,556,4,5,2,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2054,2264,135583,127894,2152,166,107,6118,6118,107,5,3,550,108054,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2055,319,6322990,19564,145,166,4,556,556,4,5,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2056,268,27955,19228,137,166,4,556,556,4,5,3,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2057,145,19674,6322990,319,166,4,560,556,4,5,4,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2058,187,6304489,28557,268,176,0,0,322,3,5,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2059,12,996,20736,154,176,0,0,322,3,5,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2060,264,28177,12627026,492,176,3,320,280,2,5,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2061,275,28831,20556,152,176,3,320,322,3,5,4,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2062,285,6179861,6330782,428,176,160,6171134,6942,103,5,1,634,6348,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2063,12,996,20646,153,176,0,0,322,3,5,2,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2064,2352,139192,6317795,2616,176,105,5828,6176964,265,5,3,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2065,427,6330528,20556,152,176,104,6982,322,3,5,5,594,118422,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2066,2387,6423193,147467,2473,176,102,5508,5830,105,5,1,594,118422,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2067,2353,139350,139028,2350,176,105,5830,5830,105,5,2,594,118422,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2068,363,12608000,36518,391,176,0,0,320,3,5,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2069,5171,12872476,19186558,5357,176,201,10854,11216,205,5,2,-1284277,0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2070,2868,12756662,12764512,2984,176,102,5666,5624,101,5,3,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2071,2583,154912,6442466,2527,176,106,5870,5828,105,5,4,567,118152,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2072,362,34641,20398,151,176,100,6742,320,3,5,1,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2073,2526,6442412,154858,2582,176,106,5870,5870,106,5,2,594,118422,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2074,2457,146575,6449154,2626,176,105,5828,12334,204,5,3,11248,112482,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2075,251,17336,12627336,501,176,0,0,320,3,5,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,302,6282635,6331981,447,176,0,0,320,3,5,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2077,534,6337935,12333868,480,176,100,6742,6040142,159,5,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2078,649,18666774,36778,392,176,158,6040100,320,3,5,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2079,2942,12751594,18775187,3148,176,196,11756,6045434,257,5,1,26802,6435145,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,480,12333868,6337935,534,176,159,6040142,6742,100,5,2,0,0,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2081,150,20356,20314,149,176,2,278,320,3,5,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2082,392,36778,18798338,659,176,3,320,6171412,162,5,2,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2083,652,18798044,28135,263,176,162,6171412,278,2,5,3,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2084,2351,139126,146815,2463,176,105,5816,5816,105,5,1,594,118422,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2085,263,28135,18666774,649,176,2,278,6040142,159,5,2,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2086,2611,6186417,139084,2350,176,261,6045640,5774,104,5,3,594,118422,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2087,392,36778,18666774,649,176,3,320,6040100,158,5,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2088,152,20246,20608,156,176,3,320,320,3,5,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2089,154,20524,20524,154,176,3,320,320,3,5,3,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2090,2630,6449406,146629,2458,176,206,12490,5786,104,5,1,594,118422,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2091,154,20524,20524,154,176,3,320,320,3,5,2,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2092,2465,146923,139234,2353,176,105,5828,5828,105,5,3,594,118422,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2093,424,6330330,20440,152,176,101,6784,320,3,5,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2094,275,28831,20062,143,176,3,320,278,2,5,3,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2095,152,20556,6330330,424,176,3,322,6784,101,5,4,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2096,187,6304489,29523,277,186,0,0,364,4,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2097,12,996,21702,163,186,0,0,364,4,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2098,272,29095,12627908,499,186,3,320,322,3,4,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2099,284,29791,21522,161,186,4,362,364,4,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2100,299,6312148,6332881,450,186,0,0,364,4,5,1,0,7679,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2101,174,6041190,28298,263,186,162,6040194,7050,105,5,2,0,0,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2102,2547,150366,6460900,2821,186,98,5608,5290,95,5,3,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2103,451,6332899,21522,161,186,6,640,364,4,5,5,565102,5774410,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2104,2674,6439899,6198801,2829,186,195,11738,6045764,259,5,1,565150,5774410,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2105,2708,6190446,156938,2647,186,258,6045526,12340,200,5,2,1165,134556,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2106,363,12608000,37756,402,186,0,0,640,6,5,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2107,5547,12892756,19207992,5742,186,189,10194,10792,194,5,2,1009,12868750,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2108,3069,12768160,12775926,3183,186,102,5824,5740,100,5,3,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2109,2778,166086,6453682,2723,186,98,5608,5650,99,5,4,523,128142,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2110,385,36848,21316,159,186,2,278,362,4,4,1,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2111,2720,6453350,165754,2775,186,97,5372,5330,96,4,2,475,128142,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2112,2647,157345,6461423,2836,186,94,5246,5372,97,4,3,475,135821,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2113,251,17336,12628296,510,186,0,0,362,4,5,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2114,302,6282635,6332941,456,186,0,0,362,4,5,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2115,557,6340142,12598343,505,186,2,278,362,4,5,3,630330,6303305,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2116,672,18931165,37738,401,186,2,278,362,4,5,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2117,3150,12763281,19050018,3365,186,97,5238,5600,101,4,1,491,12754218,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2118,505,12598343,6340142,557,186,4,362,278,2,4,2,767,7679,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2119,159,21510,21232,157,186,4,556,362,4,5,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2120,403,38016,18931585,682,186,6,640,362,4,5,2,630330,6303305,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2121,676,18931527,29011,270,186,6,640,278,2,5,3,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2122,2546,150118,157765,2657,186,98,5426,5384,97,5,1,523,128142,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2123,270,29011,18931249,674,186,2,278,362,4,5,2,630330,6303305,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2124,2820,6460846,150034,2544,186,96,5344,5384,97,5,3,523,128142,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2125,401,37738,18931165,672,186,4,362,278,2,5,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2126,161,21206,21568,165,186,4,362,362,4,5,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2127,163,21484,21484,163,186,4,362,362,4,5,3,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2128,2839,6461755,157399,2648,186,99,5650,5246,94,5,1,475,128142,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2129,165,21762,21484,163,186,6,640,362,4,5,2,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2130,2660,158097,150172,2547,186,98,5608,5372,97,5,3,475,128142,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2131,449,6332621,21400,161,186,4,362,362,4,5,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2132,284,29791,20896,149,186,4,362,278,2,5,3,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2133,161,21522,6332621,449,186,4,364,362,4,5,4,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2134,187,6304489,30643,285,196,0,0,560,4,5,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2135,12,996,22822,171,196,0,0,560,4,5,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2136,280,30207,12629028,507,196,4,556,560,4,5,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2137,292,30903,22642,169,196,4,556,560,4,5,4,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2138,299,6312148,6334001,458,196,0,0,560,4,5,1,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2139,191,6304728,30619,285,196,0,0,560,4,5,2,0,0,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2140,2896,6201120,6478474,3112,196,257,6045616,12154,197,5,3,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2141,457,6333733,22642,169,196,4,556,560,4,5,5,604527,12481948,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2142,2971,6457554,12513099,3195,196,192,11540,6045620,257,5,1,604522,12481894,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2143,3076,12505024,175433,2950,196,256,6045566,12100,196,5,2,1175,152625,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2144,363,12608000,38590,408,196,0,0,556,4,5,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2145,6079,18952882,19235486,6220,196,350,6050298,17388,294,5,2,1677,12895896,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2146,3264,12779200,12786966,3378,196,101,5794,5794,101,5,3,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2147,3067,183374,12504436,3072,196,197,12150,6045616,257,5,4,604522,6178278,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2148,393,37960,22428,167,196,4,556,556,4,5,1,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2149,3071,12504382,183320,3066,196,256,6045562,12096,196,5,2,1181,144866,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2150,2938,174911,12512455,3187,196,196,12096,6045562,256,5,3,-13305,0,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2151,251,17336,12629408,518,196,0,0,556,4,5,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2152,302,6282635,6334053,464,196,0,0,556,4,5,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2153,565,6341254,12599455,513,196,4,556,556,4,5,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2154,680,18932277,38850,409,196,4,556,556,4,5,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2155,3339,12773487,19061336,3562,196,98,5292,5848,102,5,1,-645593,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2156,513,12599455,6341254,565,196,4,556,556,4,5,2,0,0,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2157,165,22344,22344,165,196,4,556,556,4,5,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2158,409,38850,18932697,690,196,4,556,556,4,5,2,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2159,682,18932361,30123,278,196,4,556,556,4,5,3,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2160,2897,6201150,175331,2948,196,256,6045562,12096,196,5,1,1175,144812,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2161,278,30123,18932361,682,196,4,556,556,4,5,2,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2162,3111,6478420,6201066,2895,196,196,12100,6045562,256,5,3,604522,6178278,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2163,409,38850,18932277,680,196,4,556,556,4,5,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2164,169,22318,22680,173,196,4,556,556,4,5,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2165,171,22596,22596,171,196,4,556,556,4,5,3,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2166,3188,12512509,174965,2939,196,256,6045562,12096,196,4,1,1181,144866,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2167,171,22596,22596,171,196,4,556,556,4,4,2,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2168,2949,175385,6201204,2898,196,196,12096,6045562,256,4,3,604527,6178332,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2169,457,6333733,22512,169,196,4,556,556,4,4,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2170,292,30903,22008,157,196,4,556,556,4,4,3,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2171,169,22642,6333733,457,196,4,560,556,4,4,4,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2172,187,6304489,31525,292,206,0,0,602,5,5,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2173,12,996,23704,178,206,0,0,602,5,5,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2174,286,31041,12629910,514,206,4,556,602,5,5,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2175,299,31779,23524,176,206,5,598,602,5,5,4,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2176,299,6312148,6334883,465,206,0,0,602,5,4,1,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2177,191,6304728,31501,292,206,0,0,602,5,4,2,0,0,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2178,3203,6481989,12530525,3476,206,198,12192,6045578,256,4,3,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2179,464,6334609,23524,176,206,5,598,602,5,4,5,-644624,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2180,3330,12508807,12793932,3501,206,253,6045060,12154,197,4,1,-644624,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2181,3383,12785899,6227526,3315,206,198,12196,6045620,257,4,2,-15057,0,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2182,461,12614464,6079354,572,206,98,6464,6040486,162,4,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2183,6469,19236551,19257825,6616,206,191,10314,10912,196,4,2,982,12916939,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2184,3459,12790216,12797940,3572,206,101,5782,5740,100,4,3,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2185,3432,6235461,12785305,3379,206,257,6045616,12192,198,4,4,26796,6446245,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2186,399,38794,23304,174,206,4,556,598,5,5,1,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2187,3379,12785305,6235461,3432,206,199,12246,6045670,258,5,2,570,150573,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2188,3303,6227010,12793378,3495,206,257,6045628,12246,199,5,3,644624,6446245,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2189,251,17336,12630284,525,206,0,0,598,5,5,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2190,302,6282635,6334929,471,206,0,0,598,5,5,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2191,571,6342088,12600331,520,206,4,556,598,5,5,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2192,686,18933111,39726,416,206,4,556,598,5,5,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2193,3526,12783573,19072298,3756,206,96,5184,5782,101,5,1,567,6471487,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2194,520,12600331,6342088,571,206,5,598,556,4,5,2,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2195,171,23178,23220,172,206,4,556,598,5,5,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2196,416,39726,18933573,697,206,5,598,598,5,5,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2197,689,18933237,30957,284,206,5,598,556,4,5,3,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2198,3201,6481821,6096148,3310,206,195,11994,5914346,254,5,1,565140,5801977,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2199,284,30957,18933237,689,206,4,556,598,5,5,2,0,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2200,3472,12399201,6481737,3199,206,253,5914308,11994,195,5,3,26796,6446245,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2201,416,39726,18933111,686,206,5,598,556,4,5,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2202,176,23194,23556,180,206,5,598,598,5,5,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2203,178,23472,23472,178,206,5,598,598,5,5,3,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2204,3495,12793378,6227010,3303,206,198,12192,6045574,256,5,1,570,150573,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2205,178,23472,23472,178,206,5,598,598,5,5,2,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2206,3314,6227472,6482073,3205,206,257,6045616,12192,198,5,3,1201,6458263,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0
